Var1,Var2,Var3
0.156,0.1,0.02
0.134,0.1,0.02
0.906,0.1,0.02
0.5,0.1,0.02
0.156,0.1,0.02
0.218,0.1,0.02
0.459,0.1,0.02
0.298,0.1,0.02
0.858,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.819,0.1,0.02
0.563,0.1,0.02
0.218,0.1,0.02
0.243,0.1,0.02
0.624,0.1,0.02
0.292,0.1,0.02
0.885,0.1,0.02
0.103,0.1,0.02
0.218,0.1,0.02
0.563,0.1,0.02
0.243,0.1,0.02
0.819,0.1,0.02
0.819,0.1,0.02
0.218,0.1,0.02
0.243,0.1,0.02
0.563,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.292,0.1,0.02
0.103,0.1,0.02
0.624,0.1,0.02
0.885,0.1,0.02
0.292,0.1,0.02
0.885,0.1,0.02
0.624,0.1,0.02
0.103,0.1,0.02
0.103,0.1,0.02
0.885,0.1,0.02
0.292,0.1,0.02
0.624,0.1,0.02
0.228,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.228,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.819,0.1,0.02
0.243,0.1,0.02
0.563,0.1,0.02
0.218,0.1,0.02
0.228,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.239,0.1,0.02
0.218,0.1,0.02
0.243,0.1,0.02
0.819,0.1,0.02
0.563,0.1,0.02
0.624,0.1,0.02
0.292,0.1,0.02
0.103,0.1,0.02
0.885,0.1,0.02
0.243,0.1,0.02
0.563,0.1,0.02
0.819,0.1,0.02
0.218,0.1,0.02
0.819,0.1,0.02
0.563,0.1,0.02
0.218,0.1,0.02
0.243,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.228,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.624,0.1,0.02
0.885,0.1,0.02
0.292,0.1,0.02
0.103,0.1,0.02
0.103,0.1,0.02
0.292,0.1,0.02
0.624,0.1,0.02
0.885,0.1,0.02
0.103,0.1,0.02
0.292,0.1,0.02
0.885,0.1,0.02
0.624,0.1,0.02
0.893,0.1,0.02
0.243,0.1,0.02
0.861,0.1,0.02
0,0.1,0.02
0.858,0.1,0.02
0.218,0.1,0.02
0.459,0.1,0.02
0.298,0.1,0.02
0.858,0.1,0.02
0.218,0.1,0.02
0.298,0.1,0.02
0.459,0.1,0.02
0.134,0.1,0.02
0.906,0.1,0.02
0.5,0.1,0.02
0.156,0.1,0.02
0.906,0.1,0.02
0.5,0.1,0.02
0.156,0.1,0.02
0.134,0.1,0.02
0.134,0.1,0.02
0.156,0.1,0.02
0.5,0.1,0.02
0.906,0.1,0.02
0.134,0.1,0.02
0.156,0.1,0.02
0.906,0.1,0.02
0.5,0.1,0.02
0.861,0.1,0.02
0,0.1,0.02
0.243,0.1,0.02
0.586,0.1,0.02
0.243,0.1,0.02
0.861,0.1,0.02
0.586,0.1,0.02
0,0.1,0.02
0.243,0.1,0.02
0,0.1,0.02
0.586,0.1,0.02
0.861,0.1,0.02
0.134,0.1,0.02
0.906,0.1,0.02
0.5,0.1,0.02
0.156,0.1,0.02
0.5,0.1,0.02
0.156,0.1,0.02
0.134,0.1,0.02
0.906,0.1,0.02
0.906,0.1,0.02
0.134,0.1,0.02
0.156,0.1,0.02
0.5,0.1,0.02
0.858,0.1,0.02
0.218,0.1,0.02
0.459,0.1,0.02
0.298,0.1,0.02
0.704,0.1,0.02
0.264,0.1,0.02
0.163,0.1,0.02
0.033,0.1,0.02
0.334,0.1,0.02
0.772,0.1,0.02
0.523,0.1,0.02
0.183,0.1,0.02
0.805,0.1,0.02
0.128,0.1,0.02
0.571,0.1,0.02
0.165,0.1,0.02
0.523,0.1,0.02
0.334,0.1,0.02
0.183,0.1,0.02
0.772,0.1,0.02
0.523,0.1,0.02
0.772,0.1,0.02
0.183,0.1,0.02
0.334,0.1,0.02
0.033,0.1,0.02
0.704,0.1,0.02
0.163,0.1,0.02
0.264,0.1,0.02
0.163,0.1,0.02
0.033,0.1,0.02
0.264,0.1,0.02
0.704,0.1,0.02
0.033,0.1,0.02
0.163,0.1,0.02
0.264,0.1,0.02
0.704,0.1,0.02
0.163,0.1,0.02
0.264,0.1,0.02
0.704,0.1,0.02
0.033,0.1,0.02
0.165,0.1,0.02
0.571,0.1,0.02
0.128,0.1,0.02
0.805,0.1,0.02
0.805,0.1,0.02
0.571,0.1,0.02
0.128,0.1,0.02
0.165,0.1,0.02
0.165,0.1,0.02
0.571,0.1,0.02
0.128,0.1,0.02
0.805,0.1,0.02
0.704,0.1,0.02
0.163,0.1,0.02
0.264,0.1,0.02
0.033,0.1,0.02
0.264,0.1,0.02
0.033,0.1,0.02
0.163,0.1,0.02
0.704,0.1,0.02
0.163,0.1,0.02
0.264,0.1,0.02
0.033,0.1,0.02
0.704,0.1,0.02
0.334,0.1,0.02
0.183,0.1,0.02
0.523,0.1,0.02
0.772,0.1,0.02
0.65,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.381,0.1,0.02
0.184,0.1,0.02
1,0.1,0.02
0.029,0.1,0.02
0.766,0.1,0.02
0.805,0.1,0.02
0.136,0.1,0.02
0.107,0.1,0.02
0.485,0.1,0.02
0.184,0.1,0.02
1,0.1,0.02
0.766,0.1,0.02
0.029,0.1,0.02
0.766,0.1,0.02
1,0.1,0.02
0.029,0.1,0.02
0.184,0.1,0.02
0.65,0.1,0.02
0.162,0.1,0.02
0.199,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.162,0.1,0.02
0.381,0.1,0.02
0.199,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.162,0.1,0.02
0.199,0.1,0.02
0.199,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.162,0.1,0.02
0.107,0.1,0.02
0.485,0.1,0.02
0.805,0.1,0.02
0.136,0.1,0.02
0.485,0.1,0.02
0.136,0.1,0.02
0.107,0.1,0.02
0.805,0.1,0.02
0.107,0.1,0.02
0.136,0.1,0.02
0.485,0.1,0.02
0.805,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.162,0.1,0.02
0.65,0.1,0.02
0.199,0.1,0.02
0.381,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.029,0.1,0.02
0.184,0.1,0.02
1,0.1,0.02
0.766,0.1,0.02
0.199,0.1,0.02
0.381,0.1,0.02
0.162,0.1,0.02
0.65,0.1,0.02
0.029,0.1,0.02
0.184,0.1,0.02
0.766,0.1,0.02
1,0.1,0.02
0.136,0.1,0.02
0.107,0.1,0.02
0.805,0.1,0.02
0.485,0.1,0.02
0.029,0.1,0.02
0.184,0.1,0.02
0.766,0.1,0.02
1,0.1,0.02
1,0.1,0.02
0.766,0.1,0.02
0.184,0.1,0.02
0.029,0.1,0.02
0.381,0.1,0.02
0.199,0.1,0.02
0.65,0.1,0.02
0.162,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.65,0.1,0.02
0.199,0.1,0.02
0.381,0.1,0.02
0.162,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.805,0.1,0.02
0.485,0.1,0.02
0.107,0.1,0.02
0.136,0.1,0.02
0.805,0.1,0.02
0.485,0.1,0.02
0.107,0.1,0.02
0.136,0.1,0.02
0.485,0.1,0.02
0.805,0.1,0.02
0.136,0.1,0.02
0.107,0.1,0.02
0.381,0.1,0.02
0.199,0.1,0.02
0.65,0.1,0.02
0.162,0.1,0.02
0.65,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.381,0.1,0.02
1,0.1,0.02
0.766,0.1,0.02
0.029,0.1,0.02
0.184,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.218,0.1,0.02
0.563,0.1,0.02
0.819,0.1,0.02
0.243,0.1,0.02
0.624,0.1,0.02
0.292,0.1,0.02
0.103,0.1,0.02
0.885,0.1,0.02
0.243,0.1,0.02
0.218,0.1,0.02
0.819,0.1,0.02
0.563,0.1,0.02
0.819,0.1,0.02
0.563,0.1,0.02
0.218,0.1,0.02
0.243,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.624,0.1,0.02
0.292,0.1,0.02
0.103,0.1,0.02
0.885,0.1,0.02
0.103,0.1,0.02
0.624,0.1,0.02
0.885,0.1,0.02
0.292,0.1,0.02
0.292,0.1,0.02
0.885,0.1,0.02
0.624,0.1,0.02
0.103,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.228,0.1,0.02
0.819,0.1,0.02
0.218,0.1,0.02
0.563,0.1,0.02
0.243,0.1,0.02
0.435,0.1,0.02
0.828,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.636,0.1,0.02
0.278,0.1,0.02
0.923,0.1,0.02
0.316,0.1,0.02
0.832,0.1,0.02
0.571,0.1,0.02
0.125,0.1,0.02
0.263,0.1,0.02
0.636,0.1,0.02
0.923,0.1,0.02
0.316,0.1,0.02
0.278,0.1,0.02
0.923,0.1,0.02
0.278,0.1,0.02
0.316,0.1,0.02
0.636,0.1,0.02
0.435,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.125,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.435,0.1,0.02
0.828,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.832,0.1,0.02
0.571,0.1,0.02
0.263,0.1,0.02
0.125,0.1,0.02
0.125,0.1,0.02
0.263,0.1,0.02
0.571,0.1,0.02
0.832,0.1,0.02
0.263,0.1,0.02
0.125,0.1,0.02
0.832,0.1,0.02
0.571,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.636,0.1,0.02
0.923,0.1,0.02
0.316,0.1,0.02
0.278,0.1,0.02
0.156,0.1,0.02
0.134,0.1,0.02
0.906,0.1,0.02
0.5,0.1,0.02
0.298,0.1,0.02
0.858,0.1,0.02
0.218,0.1,0.02
0.459,0.1,0.02
0.243,0.1,0.02
0,0.1,0.02
0.586,0.1,0.02
0.861,0.1,0.02
0.459,0.1,0.02
0.858,0.1,0.02
0.218,0.1,0.02
0.298,0.1,0.02
0.298,0.1,0.02
0.858,0.1,0.02
0.218,0.1,0.02
0.459,0.1,0.02
0.5,0.1,0.02
0.906,0.1,0.02
0.134,0.1,0.02
0.156,0.1,0.02
0.906,0.1,0.02
0.5,0.1,0.02
0.134,0.1,0.02
0.156,0.1,0.02
0.134,0.1,0.02
0.906,0.1,0.02
0.5,0.1,0.02
0.156,0.1,0.02
0.5,0.1,0.02
0.156,0.1,0.02
0.906,0.1,0.02
0.134,0.1,0.02
0.861,0.1,0.02
0.243,0.1,0.02
0.586,0.1,0.02
0,0.1,0.02
0.586,0.1,0.02
0.243,0.1,0.02
0,0.1,0.02
0.861,0.1,0.02
0.243,0.1,0.02
0.861,0.1,0.02
0,0.1,0.02
0.586,0.1,0.02
0.906,0.1,0.02
0.134,0.1,0.02
0.5,0.1,0.02
0.156,0.1,0.02
0.156,0.1,0.02
0.5,0.1,0.02
0.906,0.1,0.02
0.134,0.1,0.02
0.5,0.1,0.02
0.906,0.1,0.02
0.156,0.1,0.02
0.134,0.1,0.02
0.218,0.1,0.02
0.858,0.1,0.02
0.298,0.1,0.02
0.459,0.1,0.02
0.239,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.563,0.1,0.02
0.218,0.1,0.02
0.819,0.1,0.02
0.243,0.1,0.02
0.624,0.1,0.02
0.292,0.1,0.02
0.103,0.1,0.02
0.885,0.1,0.02
0.819,0.1,0.02
0.243,0.1,0.02
0.563,0.1,0.02
0.218,0.1,0.02
0.819,0.1,0.02
0.218,0.1,0.02
0.563,0.1,0.02
0.243,0.1,0.02
0.595,0.1,0.02
0.239,0.1,0.02
0.228,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.228,0.1,0.02
0.103,0.1,0.02
0.885,0.1,0.02
0.624,0.1,0.02
0.292,0.1,0.02
0.292,0.1,0.02
0.103,0.1,0.02
0.885,0.1,0.02
0.624,0.1,0.02
0.885,0.1,0.02
0.292,0.1,0.02
0.624,0.1,0.02
0.103,0.1,0.02
0.595,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.239,0.1,0.02
0.563,0.1,0.02
0.243,0.1,0.02
0.218,0.1,0.02
0.819,0.1,0.02
0.11,0.1,0.02
0.915,0.1,0.02
0.29,0.1,0.02
0.634,0.1,0.02
0.211,0.1,0.02
0.16,0.1,0.02
0.618,0.1,0.02
0.835,0.1,0.02
0.151,0.1,0.02
0.198,0.1,0.02
0.639,0.1,0.02
0.502,0.1,0.02
0.618,0.1,0.02
0.835,0.1,0.02
0.16,0.1,0.02
0.211,0.1,0.02
0.835,0.1,0.02
0.618,0.1,0.02
0.16,0.1,0.02
0.211,0.1,0.02
0.11,0.1,0.02
0.29,0.1,0.02
0.634,0.1,0.02
0.915,0.1,0.02
0.915,0.1,0.02
0.29,0.1,0.02
0.11,0.1,0.02
0.634,0.1,0.02
0.29,0.1,0.02
0.11,0.1,0.02
0.915,0.1,0.02
0.634,0.1,0.02
0.634,0.1,0.02
0.11,0.1,0.02
0.29,0.1,0.02
0.915,0.1,0.02
0.198,0.1,0.02
0.151,0.1,0.02
0.639,0.1,0.02
0.502,0.1,0.02
0.639,0.1,0.02
0.198,0.1,0.02
0.151,0.1,0.02
0.502,0.1,0.02
0.502,0.1,0.02
0.198,0.1,0.02
0.151,0.1,0.02
0.639,0.1,0.02
0.29,0.1,0.02
0.634,0.1,0.02
0.915,0.1,0.02
0.11,0.1,0.02
0.29,0.1,0.02
0.11,0.1,0.02
0.915,0.1,0.02
0.634,0.1,0.02
0.634,0.1,0.02
0.29,0.1,0.02
0.11,0.1,0.02
0.915,0.1,0.02
0.835,0.1,0.02
0.618,0.1,0.02
0.16,0.1,0.02
0.211,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.278,0.1,0.02
0.636,0.1,0.02
0.923,0.1,0.02
0.316,0.1,0.02
0.125,0.1,0.02
0.832,0.1,0.02
0.263,0.1,0.02
0.571,0.1,0.02
0.316,0.1,0.02
0.923,0.1,0.02
0.636,0.1,0.02
0.278,0.1,0.02
0.923,0.1,0.02
0.316,0.1,0.02
0.636,0.1,0.02
0.278,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.571,0.1,0.02
0.263,0.1,0.02
0.832,0.1,0.02
0.125,0.1,0.02
0.832,0.1,0.02
0.125,0.1,0.02
0.263,0.1,0.02
0.571,0.1,0.02
0.125,0.1,0.02
0.263,0.1,0.02
0.571,0.1,0.02
0.832,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.435,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.923,0.1,0.02
0.278,0.1,0.02
0.316,0.1,0.02
0.636,0.1,0.02
0.11,0.1,0.02
0.634,0.1,0.02
0.915,0.1,0.02
0.29,0.1,0.02
0.618,0.1,0.02
0.835,0.1,0.02
0.16,0.1,0.02
0.211,0.1,0.02
0.151,0.1,0.02
0.639,0.1,0.02
0.198,0.1,0.02
0.502,0.1,0.02
0.16,0.1,0.02
0.835,0.1,0.02
0.618,0.1,0.02
0.211,0.1,0.02
0.835,0.1,0.02
0.211,0.1,0.02
0.16,0.1,0.02
0.618,0.1,0.02
0.634,0.1,0.02
0.915,0.1,0.02
0.11,0.1,0.02
0.29,0.1,0.02
0.915,0.1,0.02
0.634,0.1,0.02
0.29,0.1,0.02
0.11,0.1,0.02
0.29,0.1,0.02
0.915,0.1,0.02
0.634,0.1,0.02
0.11,0.1,0.02
0.29,0.1,0.02
0.915,0.1,0.02
0.11,0.1,0.02
0.634,0.1,0.02
0.502,0.1,0.02
0.198,0.1,0.02
0.639,0.1,0.02
0.151,0.1,0.02
0.639,0.1,0.02
0.151,0.1,0.02
0.198,0.1,0.02
0.502,0.1,0.02
0.502,0.1,0.02
0.639,0.1,0.02
0.151,0.1,0.02
0.198,0.1,0.02
0.29,0.1,0.02
0.915,0.1,0.02
0.634,0.1,0.02
0.11,0.1,0.02
0.915,0.1,0.02
0.634,0.1,0.02
0.29,0.1,0.02
0.11,0.1,0.02
0.29,0.1,0.02
0.11,0.1,0.02
0.915,0.1,0.02
0.634,0.1,0.02
0.618,0.1,0.02
0.16,0.1,0.02
0.211,0.1,0.02
0.835,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.162,0.1,0.02
0.199,0.1,0.02
0.029,0.1,0.02
0.766,0.1,0.02
0.184,0.1,0.02
1,0.1,0.02
0.485,0.1,0.02
0.805,0.1,0.02
0.107,0.1,0.02
0.136,0.1,0.02
1,0.1,0.02
0.029,0.1,0.02
0.766,0.1,0.02
0.184,0.1,0.02
0.766,0.1,0.02
0.029,0.1,0.02
0.184,0.1,0.02
1,0.1,0.02
0.162,0.1,0.02
0.199,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.381,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.65,0.1,0.02
0.199,0.1,0.02
0.65,0.1,0.02
0.162,0.1,0.02
0.381,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.65,0.1,0.02
0.381,0.1,0.02
0.805,0.1,0.02
0.107,0.1,0.02
0.136,0.1,0.02
0.485,0.1,0.02
0.805,0.1,0.02
0.136,0.1,0.02
0.107,0.1,0.02
0.485,0.1,0.02
0.107,0.1,0.02
0.805,0.1,0.02
0.485,0.1,0.02
0.136,0.1,0.02
0.381,0.1,0.02
0.162,0.1,0.02
0.199,0.1,0.02
0.65,0.1,0.02
0.199,0.1,0.02
0.162,0.1,0.02
0.381,0.1,0.02
0.65,0.1,0.02
0.381,0.1,0.02
0.162,0.1,0.02
0.65,0.1,0.02
0.199,0.1,0.02
0.029,0.1,0.02
1,0.1,0.02
0.184,0.1,0.02
0.766,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.636,0.1,0.02
0.278,0.1,0.02
0.316,0.1,0.02
0.923,0.1,0.02
0.832,0.1,0.02
0.263,0.1,0.02
0.125,0.1,0.02
0.571,0.1,0.02
0.278,0.1,0.02
0.316,0.1,0.02
0.923,0.1,0.02
0.636,0.1,0.02
0.923,0.1,0.02
0.278,0.1,0.02
0.316,0.1,0.02
0.636,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.263,0.1,0.02
0.832,0.1,0.02
0.571,0.1,0.02
0.571,0.1,0.02
0.832,0.1,0.02
0.263,0.1,0.02
0.125,0.1,0.02
0.125,0.1,0.02
0.832,0.1,0.02
0.571,0.1,0.02
0.263,0.1,0.02
0.828,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.435,0.1,0.02
0.828,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.435,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.923,0.1,0.02
0.316,0.1,0.02
0.636,0.1,0.02
0.278,0.1,0.02
0.704,0.1,0.02
0.264,0.1,0.02
0.163,0.1,0.02
0.033,0.1,0.02
0.772,0.1,0.02
0.183,0.1,0.02
0.523,0.1,0.02
0.334,0.1,0.02
0.571,0.1,0.02
0.805,0.1,0.02
0.128,0.1,0.02
0.165,0.1,0.02
0.772,0.1,0.02
0.183,0.1,0.02
0.523,0.1,0.02
0.334,0.1,0.02
0.772,0.1,0.02
0.334,0.1,0.02
0.523,0.1,0.02
0.183,0.1,0.02
0.163,0.1,0.02
0.704,0.1,0.02
0.264,0.1,0.02
0.033,0.1,0.02
0.264,0.1,0.02
0.033,0.1,0.02
0.704,0.1,0.02
0.163,0.1,0.02
0.163,0.1,0.02
0.264,0.1,0.02
0.704,0.1,0.02
0.033,0.1,0.02
0.163,0.1,0.02
0.264,0.1,0.02
0.704,0.1,0.02
0.033,0.1,0.02
0.805,0.1,0.02
0.128,0.1,0.02
0.165,0.1,0.02
0.571,0.1,0.02
0.165,0.1,0.02
0.805,0.1,0.02
0.128,0.1,0.02
0.571,0.1,0.02
0.165,0.1,0.02
0.128,0.1,0.02
0.805,0.1,0.02
0.571,0.1,0.02
0.163,0.1,0.02
0.033,0.1,0.02
0.264,0.1,0.02
0.704,0.1,0.02
0.264,0.1,0.02
0.163,0.1,0.02
0.033,0.1,0.02
0.704,0.1,0.02
0.033,0.1,0.02
0.163,0.1,0.02
0.704,0.1,0.02
0.264,0.1,0.02
0.523,0.1,0.02
0.183,0.1,0.02
0.772,0.1,0.02
0.334,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.923,0.1,0.02
0.636,0.1,0.02
0.316,0.1,0.02
0.278,0.1,0.02
0.571,0.1,0.02
0.125,0.1,0.02
0.832,0.1,0.02
0.263,0.1,0.02
0.316,0.1,0.02
0.636,0.1,0.02
0.278,0.1,0.02
0.923,0.1,0.02
0.636,0.1,0.02
0.316,0.1,0.02
0.923,0.1,0.02
0.278,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.828,0.1,0.02
0.186,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.125,0.1,0.02
0.828,0.1,0.02
0.435,0.1,0.02
0.186,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.828,0.1,0.02
0.125,0.1,0.02
0.263,0.1,0.02
0.832,0.1,0.02
0.571,0.1,0.02
0.832,0.1,0.02
0.125,0.1,0.02
0.571,0.1,0.02
0.263,0.1,0.02
0.832,0.1,0.02
0.263,0.1,0.02
0.571,0.1,0.02
0.125,0.1,0.02
0.186,0.1,0.02
0.828,0.1,0.02
0.125,0.1,0.02
0.435,0.1,0.02
0.186,0.1,0.02
0.125,0.1,0.02
0.828,0.1,0.02
0.435,0.1,0.02
0.125,0.1,0.02
0.828,0.1,0.02
0.435,0.1,0.02
0.186,0.1,0.02
0.923,0.1,0.02
0.278,0.1,0.02
0.636,0.1,0.02
0.316,0.1,0.02
0.239,0.1,0.02
0.228,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.243,0.1,0.02
0.819,0.1,0.02
0.563,0.1,0.02
0.218,0.1,0.02
0.103,0.1,0.02
0.292,0.1,0.02
0.885,0.1,0.02
0.624,0.1,0.02
0.243,0.1,0.02
0.563,0.1,0.02
0.819,0.1,0.02
0.218,0.1,0.02
0.218,0.1,0.02
0.819,0.1,0.02
0.243,0.1,0.02
0.563,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.228,0.1,0.02
0.893,0.1,0.02
0.103,0.1,0.02
0.624,0.1,0.02
0.292,0.1,0.02
0.885,0.1,0.02
0.292,0.1,0.02
0.885,0.1,0.02
0.103,0.1,0.02
0.624,0.1,0.02
0.885,0.1,0.02
0.624,0.1,0.02
0.103,0.1,0.02
0.292,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.893,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.239,0.1,0.02
0.595,0.1,0.02
0.893,0.1,0.02
0.228,0.1,0.02
0.595,0.1,0.02
0.239,0.1,0.02
0.563,0.1,0.02
0.218,0.1,0.02
0.819,0.1,0.02
0.243,0.1,0.02
0.033,0.1,0.02
0.704,0.1,0.02
0.163,0.1,0.02
0.264,0.1,0.02
0.334,0.1,0.02
0.772,0.1,0.02
0.183,0.1,0.02
0.523,0.1,0.02
0.805,0.1,0.02
0.128,0.1,0.02
0.165,0.1,0.02
0.571,0.1,0.02
0.772,0.1,0.02
0.183,0.1,0.02
0.523,0.1,0.02
0.334,0.1,0.02
0.183,0.1,0.02
0.523,0.1,0.02
0.772,0.1,0.02
0.334,0.1,0.02
0.033,0.1,0.02
0.163,0.1,0.02
0.704,0.1,0.02
0.264,0.1,0.02
0.264,0.1,0.02
0.704,0.1,0.02
0.033,0.1,0.02
0.163,0.1,0.02
0.163,0.1,0.02
0.704,0.1,0.02
0.264,0.1,0.02
0.033,0.1,0.02
